Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp,Keywords,RelevanceScore,KeywordClusters,RefinedKeywordClusters,AllClusters,DominantCluster
Vis,1995,On enhancing the speed of splatting with indexing,10.1109/visual.1995.480797,http://dx.doi.org/10.1109/VISUAL.1995.480797,69.0,,C,"Splatting is an object space direct volume rendering algorithm that produces images of high quality, but is computationally expensive like many other volume rendering algorithms. The paper presents a new technique that enhances the speed of splatting without trading off image quality. This new method reduces rendering time by employing a simple indexing mechanism which allows to visit and splat only the voxels of interest. It is shown that this algorithm is suitable for the dynamic situation in which viewing parameters and opacity transfer functions change interactively. We report experimental results on several test data sets of useful site and complexity, and discuss the cost/benefit trade off of our method.",Insung Ihm;Rae Kyoung Lee,Insung Ihm;Rae Kyoung Lee,"Department of Computer Science, Sogang University, Seoul, South Korea;Department of Computer Science, Sogang University, Seoul, South Korea",10.1109/visual.1990.146377;10.1109/visual.1990.146377,,40.0,3.0,13.0,48.0,,,volume rendering algorithms;splat;indexing mechanism allows;change interactively;test data sets,0.7297;0.2959;0.1286;0.0515;0.0459,"[np.int64(-1), -1, -1, -1, -1]",96;-1;-1;-1;-1,96,96
Vis,1999,Visualizing gridded datasets with large number of missing values,10.1109/visual.1999.809916,http://dx.doi.org/10.1109/VISUAL.1999.809916,405.0,551.0,C,"Much of the research in scientific visualization has focused on complete sets of gridded data. The paper presents our experience dealing with gridded data sets with a large number of missing or invalid data, and some of our experiments in addressing the shortcomings of standard off-the-shelf visualization algorithms. In particular, we discuss the options in modifying known algorithms to adjust to the specifics of sparse datasets, and provide a new technique to smooth out the side-effects of the operations. We apply our findings to data acquired from NEXRAD (NEXt generation RADars) weather radars, which usually have no more than 3 to 4 percent of all possible cell points filled.",Suzana Djurcilov;Alex Pang,S. Djurcilov;A. Pang,"Computer Science Department, University of California, Santa Cruz, USA;Computer Science Department, University of California, Santa Cruz, USA",10.1109/visual.1996.568145;10.1109/visual.1996.568145,,23.0,11.0,12.0,91.0,,,gridded data sets;nexrad generation radars;smooth effects operations;usually percent;missing invalid,0.6045;0.3215;0.0936;0.0649;0.0598,"[np.int64(-1), -1, -1, -1, -1]",144;-1;-1;-1;-1,144,144
VAST,2016,NameClarifier: A Visual Analytics System for Author Name Disambiguation,10.1109/tvcg.2016.2598465,http://dx.doi.org/10.1109/TVCG.2016.2598465,141.0,150.0,J,"In this paper, we present a novel visual analytics system called NameClarifier to interactively disambiguate author names in publications by keeping humans in the loop. Specifically, NameClarifier quantifies and visualizes the similarities between ambiguous names and those that have been confirmed in digital libraries. The similarities are calculated using three key factors, namely, co-authorships, publication venues, and temporal information. Our system estimates all possible allocations, and then provides visual cues to users to help them validate every ambiguous case. By looping users in the disambiguation process, our system can achieve more reliable results than general data mining models for highly ambiguous cases. In addition, once an ambiguous case is resolved, the result is instantly added back to our system and serves as additional cues for all the remaining unidentified names. In this way, we open up the black box in traditional disambiguation processes, and help intuitively and comprehensively explain why the corresponding classifications should hold. We conducted two use cases and an expert review to demonstrate the effectiveness of NameClarifier.",Qiaomu Shen;Tongshuang Wu;Haiyan Yang;Yanhong Wu;Huamin Qu;Weiwei Cui,Qiaomu Shen;Tongshuang Wu;Haiyan Yang;Yanhong Wu;Huamin Qu;Weiwei Cui,Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Microsoft Research,10.1109/tvcg.2012.252;10.1109/tvcg.2011.188;10.1109/vast.2006.261429;10.1109/tvcg.2012.252,Name disambiguation;analytical reasoning,47.0,26.0,41.0,1681.0,,,interactively disambiguate author;novel visual analytics;libraries similarities;cases addition;humans loop specifically,0.6837;0.3352;0.3076;0.1292;0.1121,"[np.int64(-1), -1, -1, -1, -1]",243;-1;-1;-1;-1,243,243
VAST,2011,Exploring agent-based simulations using temporal graphs,10.1109/vast.2011.6102469,http://dx.doi.org/10.1109/VAST.2011.6102469,271.0,272.0,M,"Agent-based simulation has become a key technique for modeling and simulating dynamic, complicated behaviors in social and behavioral sciences. Lacking the appropriate tools and support, it is difficult for social scientists to thoroughly analyze the results of these simulations. In this work, we capture the complex relationships between discrete simulation states by visualizing the data as a temporal graph. In collaboration with expert analysts, we identify two graph structures which capture important relationships between pivotal states in the simulation and their inevitable outcomes. Finally, we demonstrate the utility of these structures in the interactive analysis of a large-scale social science simulation of political power in present-day Thailand.",R. Jordan Crouser;Jeremy G. Freeman;Remco Chang,R. Jordan Crouser;Jeremy G. Freeman;Remco Chang,"Tufts University, USA;Tufts University, USA;Tufts University, USA",0.1109/infvis.2005.1532126,,0.0,0.0,8.0,163.0,,,simulation political power;identify graph;day thailand;thoroughly analyze results;support difficult social,0.6789;0.2714;0.1644;0.1467;0.0936,"[np.int64(-1), -1, -1, -1, -1]",1;-1;-1;-1;-1,1,1
Vis,2007,Visualization of Cosmological Particle-Based Datasets,10.1109/tvcg.2007.70526,http://dx.doi.org/10.1109/TVCG.2007.70526,1712.0,1718.0,J,"We describe our visualization process for a particle-based simulation of the formation of the first stars and their impact on cosmic history. The dataset consists of several hundred time-steps of point simulation data, with each time-step containing approximately two million point particles. For each time-step, we interpolate the point data onto a regular grid using a method taken from the radiance estimate of photon mapping [21]. We import the resulting regular grid representation into ParaView [24], with which we extract isosurfaces across multiple variables. Our images provide insights into the evolution of the early universe, tracing the cosmic transition from an initially homogeneous state to one of increasing complexity. Specifically, our visualizations capture the build-up of regions of ionized gas around the first stars, their evolution, and their complex interactions with the surrounding matter. These observations will guide the upcoming James Webb Space Telescope, the key astronomy mission of the next decade.",Paul A. Navrátil;Jarrett Johnson;Volker Bromm,Paul Navratil;Jarrett Johnson;Volker Bromm,"Texas Advanced Computing Center, University of Texas at Austin;Department of Astronomy, University of Technology, Austin, USA and Department of Astronomy, University of Texas at Austin;Department of Astronomy, University of Technology, Austin, USA and Department of Astronomy, University of Texas at Austin",10.1109/visual.2004.52;10.1109/visual.2004.29;10.1109/visual.2004.52,"Interpolation, Isosurface, Astronomy, Cosmology",51.0,23.0,41.0,403.0,,,early universe tracing;grid representation paraview;isosurfaces;james webb;homogeneous state increasing,0.6233;0.2497;0.2129;0.1076;0.0266,"[np.int64(-1), -1, -1, -1, -1]",2;-1;-1;-1;-1,2,2
InfoVis,2012,Visualizing Flow of Uncertainty through Analytical Processes,10.1109/tvcg.2012.285,http://dx.doi.org/10.1109/TVCG.2012.285,2526.0,2535.0,J,"Uncertainty can arise in any stage of a visual analytics process, especially in data-intensive applications with a sequence of data transformations. Additionally, throughout the process of multidimensional, multivariate data analysis, uncertainty due to data transformation and integration may split, merge, increase, or decrease. This dynamic characteristic along with other features of uncertainty pose a great challenge to effective uncertainty-aware visualization. This paper presents a new framework for modeling uncertainty and characterizing the evolution of the uncertainty information through analytical processes. Based on the framework, we have designed a visual metaphor called uncertainty flow to visually and intuitively summarize how uncertainty information propagates over the whole analysis pipeline. Our system allows analysts to interact with and analyze the uncertainty information at different levels of detail. Three experiments were conducted to demonstrate the effectiveness and intuitiveness of our design.",Yingcai Wu;Guo-Xun Yuan;Kwan-Liu Ma,Yingcai Wu;Guo-Xun Yuan;Kwan-Liu Ma,"University of California, Davis, USA;University of California,슠Davis, USA;University of California, Davis, USA",10.1109/tvcg.2008.137;10.1109/tvcg.2011.178;10.1109/infvis.2004.2;10.1109/infvis.2002.1173145;10.1109/visual.1993.398857;10.1109/vast.2009.5332611;10.1109/tvcg.2010.183;10.1109/tvcg.2009.114;10.1109/tvcg.2011.197;10.1109/tvcg.2010.176,"Uncertainty visualization, uncertainty quantification, uncertainty propagation, error ellipsoids, uncertainty fusion",69.0,43.0,46.0,1098.0,,,uncertainty aware visualization;analysts interact;transformations additionally process;sequence data;called,0.7671;0.3211;0.2009;0.1445;0.0247,"[np.int64(-1), -1, -1, -1, -1]",159;-1;-1;-1;-1,159,159
VAST,2019,GPGPU Linear Complexity t-SNE Optimization,10.1109/tvcg.2019.2934307,http://dx.doi.org/10.1109/TVCG.2019.2934307,1172.0,1181.0,J,"In recent years the t-distributed Stochastic Neighbor Embedding (t-SNE) algorithm has become one of the most used and insightful techniques for exploratory data analysis of high-dimensional data. It reveals clusters of high-dimensional data points at different scales while only requiring minimal tuning of its parameters. However, the computational complexity of the algorithm limits its application to relatively small datasets. To address this problem, several evolutions of t-SNE have been developed in recent years, mainly focusing on the scalability of the similarity computations between data points. However, these contributions are insufficient to achieve interactive rates when visualizing the evolution of the t-SNE embedding for large datasets. In this work, we present a novel approach to the minimization of the t-SNE objective function that heavily relies on graphics hardware and has linear computational complexity. Our technique decreases the computational cost of running t-SNE on datasets by orders of magnitude and retains or improves on the accuracy of past approximated techniques. We propose to approximate the repulsive forces between data points by splatting kernel textures for each data point. This approximation allows us to reformulate the t-SNE minimization problem as a series of tensor operations that can be efficiently executed on the graphics card. An efficient implementation of our technique is integrated and available for use in the widely used Google TensorFlow.js, and an open-source C++ library.",Nicola Pezzotti;Julian Thijssen;Alexander Mordvintsev;Thomas Höllt;Baldur van Lew;Boudewijn P. F. Lelieveldt;Elmar Eisemann;Anna Vilanova,Nicola Pezzotti;Julian Thijssen;Alexander Mordvintsev;Thomas Höllt;Baldur Van Lew;Boudewijn P.F. Lelieveldt;Elmar Eisemann;Anna Vilanova,"Google AI, Zürich, Switzerland and Delft University of Technology, Delft, The Netherlands;Delft University of Technology, Delft, The Netherlands;Google AI, Zürich, Switzerland;Delft University of Technology, Delft, The Netherlands and Leiden University Medical Center, Leiden, The Netherlands;Leiden University Medical Center, Leiden, The Netherlands;Delft University of Technology, Delft, The Netherlands and Leiden University Medical Center, Leiden, The Netherlands;Delft University of Technology, Delft, The Netherlands;Delft University of Technology, Delft, The Netherlands",10.1109/tvcg.2017.2744318;10.1109/tvcg.2017.2744718;10.1109/tvcg.2017.2745141;10.1109/tvcg.2017.2744358;10.1109/tvcg.2014.2346574,"High Dimensional Data,Dimensionality Reduction,Progressive Visual Analytics,Approximate Computation,GPGPU",59.0,45.0,45.0,1185.0,,,stochastic neighbor embedding;visualizing evolution;tensorflow js open;repulsive forces;graphics card efficient,0.6117;0.3444;0.2563;0.2062;0.1546,"[np.int64(-1), -1, -1, -1, -1]",31;-1;-1;-1;-1,31,31
VAST,2012,Visual analytics methods for categoric spatio-temporal data,10.1109/vast.2012.6400553,http://dx.doi.org/10.1109/VAST.2012.6400553,183.0,192.0,C,"We focus on visual analysis of space- and time-referenced categorical data, which describe possible states of spatial (geographical) objects or locations and their changes over time. The analysis of these data is difficult as there are only limited possibilities to analyze the three aspects (location, time and category) simultaneously. We present a new approach which interactively combines (a) visualization of categorical changes over time; (b) various spatial data displays; (c) computational techniques for task-oriented selection of time steps. They provide an expressive visualization with regard to either the overall evolution over time or unusual changes. We apply our approach on two use cases demonstrating its usefulness for a wide variety of tasks. We analyze data from movement tracking and meteorologic areas. Using our approach, expected events could be detected and new insights were gained.",Tatiana von Landesberger;Sebastian Bremm;Natalia V. Andrienko;Gennady L. Andrienko;Maria Tekusova,T. von Landesberger;Sebastian Bremm;Natalia Andrienko;Gennady Andrienko;Mária Tekušová,"TU Darmstadt, Darmstadt, Germany;TU Darmstadt, Darmstadt, Germany;Fraunhofer IAIS, Bonn, Germany;Fraunhofer IAIS, Bonn, Germany;SHMU, Bratislava, Slovakia",10.1109/tvcg.2011.174;10.1109/tvcg.2009.117;10.1109/tvcg.2009.181;10.1109/infvis.2000.885098;10.1109/tvcg.2010.138;10.1109/vast.2010.5652530;10.1109/infvis.2004.27;10.1109/infvis.2005.1532152;10.1109/infvis.2001.963281;10.1109/tvcg.2008.165;10.1109/tvcg.2009.153;10.1109/tvcg.2011.174,,100.0,43.0,43.0,1416.0,,,visualization categorical changes;task oriented selection;location time;meteorologic areas using;expected events,0.6561;0.3065;0.2926;0.2926;0.1431,"[np.int64(-1), -1, -1, -1, -1]",162;-1;-1;-1;-1,162,162
Vis,2024,DimBridge: Interactive Explanation of Visual Patterns in Dimensionality Reductions with Predicate Logic,10.1109/tvcg.2024.3456391,http://dx.doi.org/10.1109/TVCG.2024.3456391,207.0,217.0,J,"Dimensionality reduction techniques are widely used for visualizing high-dimensional data. However, support for interpreting patterns of dimension reduction results in the context of the original data space is often insufficient. Consequently, users may struggle to extract insights from the projections. In this paper, we introduce DimBridge, a visual analytics tool that allows users to interact with visual patterns in a projection and retrieve corresponding data patterns. DimBridge supports several interactions, allowing users to perform various analyses, from contrasting multiple clusters to explaining complex latent structures. Leveraging first-order predicate logic, DimBridge identifies subspaces in the original dimensions relevant to a queried pattern and provides an interface for users to visualize and interact with them. We demonstrate how DimBridge can help users overcome the challenges associated with interpreting visual patterns in projections.",Brian Montambault;Gabriel Appleby;Jen Rogers;Camelia D. Brumar;Mingwei Li;Remco Chang,Brian Montambault;Gabriel Appleby;Jen Rogers;Camelia D. Brumar;Mingwei Li;Remco Chang,"Tufts University, USA;Tufts University, USA;Tufts University, USA;Tufts University, USA;Tufts University, USA;Tufts University, USA",10.1109/tvcg.2011.229;10.1109/tvcg.2018.2864477;10.1109/vast.2012.6400489;10.1109/tvcg.2019.2934251;10.1109/tvcg.2021.3114807;10.1109/vast.2008.4677352;10.1109/infvis.2002.1173157;10.1109/tvcg.2017.2745085;10.1109/visual.1990.146386;10.1109/tvcg.2022.3209382;10.1109/visual.1995.485139;10.1109/tvcg.2018.2864812;10.1109/tvcg.2013.153;10.1109/tvcg.2021.3114870;10.1109/tvcg.2017.2744843;10.1109/tvcg.2015.2467717;10.1109/vast.2012.6400488;10.1109/tvcg.2017.2745258;10.1109/infvis.2005.1532142;10.1109/tvcg.2022.3209423;10.1109/vast.2006.261436,"Predicates,Dimensionality Reduction,,,Explainable Machine Learning",,0.0,95.0,220.0,,,visualizing high dimensional;multiple clusters explaining;logic dimbridge identifies;reduction results;support,0.6151;0.4332;0.3196;0.1879;0.1271,"[np.int64(-1), -1, -1, -1, -1]",182;-1;-1;-1;-1,182,182
Vis,2003,Interactive view-dependent rendering with conservative occlusion culling in complex environments,10.1109/visual.2003.1250368,http://dx.doi.org/10.1109/VISUAL.2003.1250368,163.0,170.0,C,"This paper presents an algorithm combining view-dependent rendering and conservative occlusion culling for interactive display of complex environments. A vertex hierarchy of the entire scene is decomposed into a cluster hierarchy through a novel clustering and partitioning algorithm. The cluster hierarchy is then used for view-frustum and occlusion culling. Using hardware accelerated occlusion queries and frame-to-frame coherence, a potentially visible set of clusters is computed. An active vertex front and face list is computed from the visible clusters and rendered using vertex arrays. The integrated algorithm has been implemented on a Pentium IV PC with a NVIDIA GeForce 4 graphics card and applied in two complex environments composed of millions of triangles. The resulting system can render these environments at interactive rates with little loss in image quality and minimal popping artifacts.",Sung-Eui Yoon;Brian Salomon;Dinesh Manocha,Sung-Eui Yoon;B. Salomon;D. Manocha,"University of North Carolina, Chapel Hill, USA;University of North Carolina, Chapel Hill, USA;University of North Carolina, Chapel Hill, USA",10.1109/visual.2002.1183760;10.1109/visual.2001.964534;10.1109/visual.2002.1183796;10.1109/visual.2002.1183760,"Interactive Display, View-Dependent Rendering, Occlusion Culling, Level of Detail, Multiresolution Hierarchies",56.0,6.0,40.0,118.0,,,hardware accelerated occlusion;display complex environments;cluster hierarchy used;scene;list computed,0.6035;0.4821;0.2570;0.1520;0.0705,"[np.int64(-1), -1, -1, -1, -1]",290;-1;-1;-1;-1,290,290
Vis,2008,Generation of Accurate Integral Surfaces in Time-Dependent Vector fields,10.1109/tvcg.2008.133,http://dx.doi.org/10.1109/TVCG.2008.133,1404.0,1411.0,J,"We present a novel approach for the direct computation of integral surfaces in time-dependent vector fields. As opposed to previous work, which we analyze in detail, our approach is based on a separation of integral surface computation into two stages: surface approximation and generation of a graphical representation. This allows us to overcome several limitations of existing techniques. We first describe an algorithm for surface integration that approximates a series of time lines using iterative refinement and computes a skeleton of the integral surface. In a second step, we generate a well-conditioned triangulation. Our approach allows a highly accurate treatment of very large time-varying vector fields in an efficient, streaming fashion. We examine the properties of the presented methods on several example datasets and perform a numerical study of its correctness and accuracy. Finally, we investigate some visualization aspects of integral surfaces.",Christoph Garth;Han Krishnan;Xavier Tricoche;Tom Tricoche;Kenneth I. Joy,Christoph Garth;Han Krishnan;Xavier Tricoche;Tom Tricoche;Kenneth I. Joy,"Institute of Data Analysis and Visualization, University of California, Davis, USA;Institute of Data Analysis and Visualization, University of California, Davis, USA;Computer Science Dept., Purdue University, USA;Geometric Algorithms Group, University of Kaiserslautern;Institute of Data Analysis and Visualization, University of California, Davis, USA",10.1109/visual.1993.398875;10.1109/visual.2001.964506;10.1109/visual.2004.28;10.1109/visual.1992.235211;10.1109/visual.1992.235226;10.1109/visual.1993.398875,"3D vector field visualization, flow visualization, time-varying and time-series visualization, surface extraction",103.0,51.0,18.0,376.0,,,integral surfaces time;triangulation;streaming fashion;fields opposed;approximates series,0.5838;0.3497;0.1337;0.1040;0.0339,"[np.int64(-1), -1, -1, -1, -1]",251;-1;-1;-1;-1,251,251
Vis,2000,Two-level volume rendering - fusing MIP and DVR,10.1109/visual.2000.885697,http://dx.doi.org/10.1109/VISUAL.2000.885697,211.0,218.0,C,"Presents a two-level approach for fusing direct volume rendering (DVR) and maximum-intensity projection (MIP) within a joint rendering method. Different structures within the data set are rendered locally by either MIP or DVR on an object-by-object basis. Globally, all the results of subsequent object renderings are combined in a merging step (usually compositing in our case). This allows us to selectively choose the most suitable technique for depicting each object within the data, while keeping the amount of information contained in the image at a reasonable level. This is especially useful when inner structures should be visualized together with semi-transparent outer parts, similar to the focus-and-context approach known from information visualization. We also present an implementation of our approach which allows us to explore volumetric data using two-level rendering at interactive frame rates.",Helwig Hauser;Lukas Mroz;Gian Italo Bischi;M. Eduard Gröller,H. Hauser;L. Mroz;G.-I. Bischi;M.E. Groller,"VRVis Center Vienna, Austria;University of Technology, Vienna, Austria;University of Urbino, Italy;University of Technology, Vienna, Austria",10.1109/visual.1998.745311;10.1109/visual.1999.809887;10.1109/visual.1996.568113;10.1109/visual.2000.885697;10.1109/visual.1998.745311,"visualization, volume rendering, dynamical systems,medical applications",81.0,12.0,20.0,173.0,,,direct volume rendering;object basis globally;explore;combined;keeping information,0.7287;0.2026;0.1436;0.1119;0.1087,"[np.int64(-1), -1, -1, -1, -1]",98;-1;-1;-1;-1,98,98
Vis,2023,VISPUR: Visual Aids for Identifying and Interpreting Spurious Associations in Data-Driven Decisions,10.1109/tvcg.2023.3326587,http://dx.doi.org/10.1109/TVCG.2023.3326587,219.0,229.0,J,"Big data and machine learning tools have jointly empowered humans in making data-driven decisions. However, many of them capture empirical associations that might be spurious due to confounding factors and subgroup heterogeneity. The famous Simpson's paradox is such a phenomenon where aggregated and subgroup-level associations contradict with each other, causing cognitive confusions and difficulty in making adequate interpretations and decisions. Existing tools provide little insights for humans to locate, reason about, and prevent pitfalls of spurious association in practice. We propose VISPUR, a visual analytic system that provides a causal analysis framework and a human-centric workflow for tackling spurious associations. These include a CONFOUNDER DASHBOARD, which can automatically identify possible confounding factors, and a SUBGROUP VIEWER, which allows for the visualization and comparison of diverse subgroup patterns that likely or potentially result in a misinterpretation of causality. Additionally, we propose a REASONING STORYBOARD, which uses a flow-based approach to illustrate paradoxical phenomena, as well as an interactive DECISION DIAGNOSIS panel that helps ensure accountable decision-making. Through an expert interview and a controlled user experiment, our qualitative and quantitative results demonstrate that the proposed “de-paradox” workflow and the designed visual analytic system are effective in helping human users to identify and understand spurious associations, as well as to make accountable causal decisions.",Xian Teng;Yongsu Ahn;Yu-Ru Lin,Xian Teng;Yongsu Ahn;Yu-Ru Lin,"University of Pittsburgh, USA;University of Pittsburgh, USA;University of Pittsburgh, USA",0.1109/tvcg.2019.2934262;10.1109/tvcg.2014.2346297;10.1109/vast.2018.8802486;10.1109/vast47406.2019.8986948;10.1109/tvcg.2020.3030342;10.1109/tvcg.2018.2865043;10.1109/tvcg.2020.3030465;10.1109/tvcg.2021.3114824;10.1109/tvcg.2017.2745085;10.1109/infvis.2005.1532152;10.1109/tvcg.2015.2467931;10.1109/vast.2017.8585647;10.1109/tvcg.2019.2934619;10.1109/tvcg.2020.3028957,"Causal Analysis,Simpson's Paradox,Spurious Associations,Machine Learning,Decision Making",,0.0,76.0,426.0,,,associations spurious confounding;visualization comparison diverse;factors subgroup;dashboard automatically;uses,0.5565;0.3643;0.1866;0.1326;0.1200,"[np.int64(-1), -1, -1, -1, -1]",85;-1;-1;-1;-1,85,85
Vis,2005,Multimodal exploration of the fourth dimension,10.1109/visual.2005.1532804,http://dx.doi.org/10.1109/VISUAL.2005.1532804,263.0,270.0,C,"We present a multimodal paradigm for exploring topological surfaces embedded in four dimensions; we exploit haptic methods in particular to overcome the intrinsic limitations of 3D graphics images and 3D physical models. The basic problem is that, just as 2D shadows of 3D curves lose structure where lines cross, 3D graphics projections of smooth 4D topological surfaces are interrupted where one surface intersects another. Furthermore, if one attempts to trace real knotted ropes or a plastic models of self-intersecting surfaces with a fingertip, one inevitably collides with parts of the physical artifact. In this work, we exploit the free motion of a computer-based haptic probe to support a continuous motion that follows the local continuity of the object being explored. For our principal test case of 4D-embedded surfaces projected to 3D, this permits us to follow the full local continuity of the surface as though in fact we were touching an actual 4D object. We exploit additional sensory cues to provide supplementary or redundant information. For example, we can use audio tags to note the relative 4D depth of illusory 3D surface intersections produced by projection from 4D, as well as providing automated refinement of the tactile exploration path to eliminate jitter and snagging, resulting in a much cleaner exploratory motion than a bare uncorrected motion. Visual enhancements provide still further improvement to the feedback: by opening a view-direction-defined cutaway into the interior of the 3D surface projection, we allow the viewer to keep the haptic probe continuously in view as it traverses any touchable part of the object. Finally, we extend the static tactile exploration framework using a dynamic mode that links each stylus motion to a change in orientation that creates at each instant a maximal-area screen projection of a neighborhood of the current point of interest. This minimizes 4D distortion and permits true metric sizes to be deduced locally at any point. All these methods combine to reveal the full richness of the complex spatial relationships of the target shapes, and to overcome many expected perceptual limitations in 4D visualization.",Andrew J. Hanson;Hui Zhang 0006,A.J. Hanson;H. Zhang,"Computer Science Department, Indiana University, USA;Computer Science Department, Indiana University, USA",10.1109/visual.1995.480804;10.1109/visual.1995.480804," multimodal, haptics, visualization",21.0,5.0,31.0,170.0,,,touching actual 4d;paradigm exploring topological;eliminate jitter snagging;attempts trace;provide supplementary redundant,0.6277;0.3054;0.0972;0.0809;-0.0137,"[np.int64(-1), -1, -1, -1, -1]",238;-1;-1;-1;-1,238,238
Vis,2001,"Semi-immersive space mission design and visualization: case study of the ""Terrestrial Planet Finder"" mission",10.1109/visual.2001.964562,http://dx.doi.org/10.1109/VISUAL.2001.964562,501.0,504.0,C,"The paper addresses visualization issues of the Terrestrial Planet Finder Mission (C.A. Beichman et al., 1999). The goal of this mission is to search for chemical signatures of life in distant solar systems using five satellites flying in formation to simulate a large telescope. To design and visually verify such a delicate mission, one has to analyze and interact with many different 3D spacecraft trajectories, which is often difficult in 2D. We employ a novel trajectory design approach using invariant manifold theory, which is best understood and utilized in an immersive setting. The visualization also addresses multi-scale issues related to the vast differences in distance, velocity, and time at different phases of the mission. Additionally, the parameterization and coordinate frames used for numerical simulations may not be suitable for direct visualization. Relative motion presents a more serious problem where the patterns of the trajectories can only be viewed in particular rotating frames. Some of these problems are greatly relieved by using interactive, animated stereo 3D visualization in a semi-immersive environment such as a Responsive Workbench. Others were solved using standard techniques such as a stratify approach with multiple windows to address the multiscale issues, re-parameterizations of trajectories and associated 2D manifolds and relative motion of the camera to ""evoke"" the desired patterns.",Ken Museth;Alan H. Barr;Martin W. Lo,K. Museth;A. Barr;M.W. Lo,"Computer Science Department, California Institute of Technology, Pasadena, CA, USA;Computer Science Department, California Institute of Technology, Pasadena, CA, USA;Jet Propulsion Laboratory and Computer Science Department, California Institute of Technology, Pasadena, CA",,,13.0,3.0,7.0,122.0,,,3d spacecraft trajectories;chemical signatures life;camera evoke desired;responsive workbench;stratify,0.6054;0.2041;0.1688;0.1521;0.0789,"[np.int64(-1), -1, -1, -1, -1]",239;-1;-1;-1;-1,239,239
InfoVis,2020,Table Scraps: An Actionable Framework for Multi-Table Data Wrangling From An Artifact Study of Computational Journalism,10.1109/tvcg.2020.3030462,http://dx.doi.org/10.1109/TVCG.2020.3030462,957.0,966.0,J,"For the many journalists who use data and computation to report the news, data wrangling is an integral part of their work. Despite an abundance of literature on data wrangling in the context of enterprise data analysis, little is known about the specific operations, processes, and pain points journalists encounter while performing this tedious, time-consuming task. To better understand the needs of this user group, we conduct a technical observation study of 50 public repositories of data and analysis code authored by 33 professional journalists at 26 news organizations. We develop two detailed and cross-cutting taxonomies of data wrangling in computational journalism, for actions and for processes. We observe the extensive use of multiple tables, a notable gap in previous wrangling analyses. We develop a concise, actionable framework for general multi-table data wrangling that includes wrangling operations documented in our taxonomy that are without clear parallels in other work. This framework, the first to incorporate tables as first-class objects, will support future interactive wrangling tools for both computational journalism and general-purpose use. We assess the generative and descriptive power of our framework through discussion of its relationship to our set of taxonomies.",Stephen Kasica;Charles Berret;Tamara Munzner,Stephen Kasica;Charles Berret;Tamara Munzner,"Department of Computer Science, University of British Columbia;University of British Columbia, School of Journalism, Writing, and Media;Department of Computer Science, University of British Columbia",10.1109/vast47406.2019.8986909;10.1109/vast.2011.6102441;10.1109/tvcg.2012.219;10.1109/tvcg.2019.2934593;10.1109/vast.2011.6102440;10.1109/tvcg.2019.2934539;10.1109/tvcg.2015.2467551;10.1109/infvis.2000.885086;10.1109/vast47406.2019.8986909,"Computational journalism,Data journalism,Data wrangling",20.0,17.0,55.0,800.0,,,journalists use data;framework incorporate tables;operations processes pain;taxonomy clear parallels;26,0.6592;0.2414;0.1863;0.0989;0.0118,"[np.int64(-1), -1, -1, -1, -1]",124;-1;-1;-1;-1,124,124
Vis,1994,Nonpolygonal isosurface rendering for large volume datasets,10.1109/visual.1994.346306,http://dx.doi.org/10.1109/VISUAL.1994.346306,293.0,,C,"Surface-based rendering techniques, particularly those that extract a polygonal approximation of an isosurface, are widely used in volume visualization. As dataset size increases though, the computational demands of these methods can overwhelm typically available computing resources. Recent work on accelerating such techniques has focused on preprocessing the volume data or postprocessing the extracted polygonization. The algorithm presented, concentrates instead on streamlining the surface extraction process itself so as to accelerate the rendering of large volumes. The technique shortens the conventional isosurface visualization pipeline by eliminating the intermediate polygonization. We compute the contribution of the isosurface within a volume cell to the resulting image directly from a simplified numerical description of the cell/surface intersection. The approach also reduces the work in the remaining stages of the visualization process. By quantizing the volume data, we exploit precomputed and cached data at key processing steps to improve rendering efficiency. The resulting implementation provides comparatively fast renderings with reasonable image quality.&lt;&lt;ETX&gt;&gt;",James W. Durkin;John F. Hughes,J.W. Durkin;J.F. Hughes,"Cornell University, Ithaca, NY, USA;Computer Science Department, Brown University, Providence, RI, USA",,,27.0,2.0,12.0,53.0,,,volume visualization;comparatively fast renderings;conventional isosurface;postprocessing extracted polygonization;exploit precomputed cached,0.6695;0.4283;0.4127;0.4008;0.0458,"[np.int64(-1), -1, -1, -1, -1]",84;-1;-1;-1;-1,84,84
