Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp,Keywords,RelevanceScore,KeywordClusters,RefinedKeywordClusters,AllClusters,DominantCluster,Area
Vis,2005,Multimodal exploration of the fourth dimension,10.1109/visual.2005.1532804,http://dx.doi.org/10.1109/VISUAL.2005.1532804,263.0,270.0,C,"We present a multimodal paradigm for exploring topological surfaces embedded in four dimensions; we exploit haptic methods in particular to overcome the intrinsic limitations of 3D graphics images and 3D physical models. The basic problem is that, just as 2D shadows of 3D curves lose structure where lines cross, 3D graphics projections of smooth 4D topological surfaces are interrupted where one surface intersects another. Furthermore, if one attempts to trace real knotted ropes or a plastic models of self-intersecting surfaces with a fingertip, one inevitably collides with parts of the physical artifact. In this work, we exploit the free motion of a computer-based haptic probe to support a continuous motion that follows the local continuity of the object being explored. For our principal test case of 4D-embedded surfaces projected to 3D, this permits us to follow the full local continuity of the surface as though in fact we were touching an actual 4D object. We exploit additional sensory cues to provide supplementary or redundant information. For example, we can use audio tags to note the relative 4D depth of illusory 3D surface intersections produced by projection from 4D, as well as providing automated refinement of the tactile exploration path to eliminate jitter and snagging, resulting in a much cleaner exploratory motion than a bare uncorrected motion. Visual enhancements provide still further improvement to the feedback: by opening a view-direction-defined cutaway into the interior of the 3D surface projection, we allow the viewer to keep the haptic probe continuously in view as it traverses any touchable part of the object. Finally, we extend the static tactile exploration framework using a dynamic mode that links each stylus motion to a change in orientation that creates at each instant a maximal-area screen projection of a neighborhood of the current point of interest. This minimizes 4D distortion and permits true metric sizes to be deduced locally at any point. All these methods combine to reveal the full richness of the complex spatial relationships of the target shapes, and to overcome many expected perceptual limitations in 4D visualization.",Andrew J. Hanson;Hui Zhang 0006,A.J. Hanson;H. Zhang,"Computer Science Department, Indiana University, USA;Computer Science Department, Indiana University, USA",10.1109/visual.1995.480804;10.1109/visual.1995.480804," multimodal, haptics, visualization",21.0,5.0,31.0,170.0,,,touching actual 4d;paradigm exploring topological;eliminate jitter snagging;attempts trace;provide supplementary redundant,0.6277;0.3054;0.0972;0.0809;-0.0137,"[np.int64(-1), -1, -1, -1, -1]",114;-1;-1;-1;-1,114,114,4D/3D Visualization
Vis,2001,"Semi-immersive space mission design and visualization: case study of the ""Terrestrial Planet Finder"" mission",10.1109/visual.2001.964562,http://dx.doi.org/10.1109/VISUAL.2001.964562,501.0,504.0,C,"The paper addresses visualization issues of the Terrestrial Planet Finder Mission (C.A. Beichman et al., 1999). The goal of this mission is to search for chemical signatures of life in distant solar systems using five satellites flying in formation to simulate a large telescope. To design and visually verify such a delicate mission, one has to analyze and interact with many different 3D spacecraft trajectories, which is often difficult in 2D. We employ a novel trajectory design approach using invariant manifold theory, which is best understood and utilized in an immersive setting. The visualization also addresses multi-scale issues related to the vast differences in distance, velocity, and time at different phases of the mission. Additionally, the parameterization and coordinate frames used for numerical simulations may not be suitable for direct visualization. Relative motion presents a more serious problem where the patterns of the trajectories can only be viewed in particular rotating frames. Some of these problems are greatly relieved by using interactive, animated stereo 3D visualization in a semi-immersive environment such as a Responsive Workbench. Others were solved using standard techniques such as a stratify approach with multiple windows to address the multiscale issues, re-parameterizations of trajectories and associated 2D manifolds and relative motion of the camera to ""evoke"" the desired patterns.",Ken Museth;Alan H. Barr;Martin W. Lo,K. Museth;A. Barr;M.W. Lo,"Computer Science Department, California Institute of Technology, Pasadena, CA, USA;Computer Science Department, California Institute of Technology, Pasadena, CA, USA;Jet Propulsion Laboratory and Computer Science Department, California Institute of Technology, Pasadena, CA",,,13.0,3.0,7.0,122.0,,,3d spacecraft trajectories;chemical signatures life;camera evoke desired;responsive workbench;stratify,0.6054;0.2041;0.1688;0.1521;0.0789,"[np.int64(-1), -1, -1, -1, -1]",119;-1;-1;-1;-1,119,119,Spacecraft Trajectory Analysis
InfoVis,2020,Table Scraps: An Actionable Framework for Multi-Table Data Wrangling From An Artifact Study of Computational Journalism,10.1109/tvcg.2020.3030462,http://dx.doi.org/10.1109/TVCG.2020.3030462,957.0,966.0,J,"For the many journalists who use data and computation to report the news, data wrangling is an integral part of their work. Despite an abundance of literature on data wrangling in the context of enterprise data analysis, little is known about the specific operations, processes, and pain points journalists encounter while performing this tedious, time-consuming task. To better understand the needs of this user group, we conduct a technical observation study of 50 public repositories of data and analysis code authored by 33 professional journalists at 26 news organizations. We develop two detailed and cross-cutting taxonomies of data wrangling in computational journalism, for actions and for processes. We observe the extensive use of multiple tables, a notable gap in previous wrangling analyses. We develop a concise, actionable framework for general multi-table data wrangling that includes wrangling operations documented in our taxonomy that are without clear parallels in other work. This framework, the first to incorporate tables as first-class objects, will support future interactive wrangling tools for both computational journalism and general-purpose use. We assess the generative and descriptive power of our framework through discussion of its relationship to our set of taxonomies.",Stephen Kasica;Charles Berret;Tamara Munzner,Stephen Kasica;Charles Berret;Tamara Munzner,"Department of Computer Science, University of British Columbia;University of British Columbia, School of Journalism, Writing, and Media;Department of Computer Science, University of British Columbia",10.1109/vast47406.2019.8986909;10.1109/vast.2011.6102441;10.1109/tvcg.2012.219;10.1109/tvcg.2019.2934593;10.1109/vast.2011.6102440;10.1109/tvcg.2019.2934539;10.1109/tvcg.2015.2467551;10.1109/infvis.2000.885086;10.1109/vast47406.2019.8986909,"Computational journalism,Data journalism,Data wrangling",20.0,17.0,55.0,800.0,,,journalists use data;framework incorporate tables;operations processes pain;taxonomy clear parallels;26,0.6592;0.2414;0.1863;0.0989;0.0118,"[np.int64(-1), -1, -1, -1, -1]",51;-1;-1;-1;-1,51,51,Data Journalism
Vis,1994,Nonpolygonal isosurface rendering for large volume datasets,10.1109/visual.1994.346306,http://dx.doi.org/10.1109/VISUAL.1994.346306,293.0,,C,"Surface-based rendering techniques, particularly those that extract a polygonal approximation of an isosurface, are widely used in volume visualization. As dataset size increases though, the computational demands of these methods can overwhelm typically available computing resources. Recent work on accelerating such techniques has focused on preprocessing the volume data or postprocessing the extracted polygonization. The algorithm presented, concentrates instead on streamlining the surface extraction process itself so as to accelerate the rendering of large volumes. The technique shortens the conventional isosurface visualization pipeline by eliminating the intermediate polygonization. We compute the contribution of the isosurface within a volume cell to the resulting image directly from a simplified numerical description of the cell/surface intersection. The approach also reduces the work in the remaining stages of the visualization process. By quantizing the volume data, we exploit precomputed and cached data at key processing steps to improve rendering efficiency. The resulting implementation provides comparatively fast renderings with reasonable image quality.&lt;&lt;ETX&gt;&gt;",James W. Durkin;John F. Hughes,J.W. Durkin;J.F. Hughes,"Cornell University, Ithaca, NY, USA;Computer Science Department, Brown University, Providence, RI, USA",,,27.0,2.0,12.0,53.0,,,volume visualization;comparatively fast renderings;conventional isosurface;postprocessing extracted polygonization;exploit precomputed cached,0.6695;0.4283;0.4127;0.4008;0.0458,"[np.int64(-1), -1, -1, -1, -1]",54;-1;-1;-1;-1,54,54,Volume Visualization Techniques
Vis,2023,Interactive Design and Optics-Based Visualization of Arbitrary Non-Euclidean Kaleidoscopic Orbifolds,10.1109/tvcg.2023.3326927,http://dx.doi.org/10.1109/TVCG.2023.3326927,1292.0,1301.0,J,"Orbifolds are a modern mathematical concept that arises in the research of hyperbolic geometry with applications in computer graphics and visualization. In this paper, we make use of rooms with mirrors as the visual metaphor for orbifolds. Given any arbitrary two-dimensional kaleidoscopic orbifold, we provide an algorithm to construct a Euclidean, spherical, or hyperbolic polygon to match the orbifold. This polygon is then used to create a room for which the polygon serves as the floor and the ceiling. With our system that implements Möbius transformations, the user can interactively edit the scene and see the reflections of the edited objects. To correctly visualize non-Euclidean orbifolds, we adapt the rendering algorithms to account for the geodesics in these spaces, which light rays follow. Our interactive orbifold design system allows the user to create arbitrary two-dimensional kaleidoscopic orbifolds. In addition, our mirror-based orbifold visualization approach has the potential of helping our users gain insight on the orbifold, including its orbifold notation as well as its universal cover, which can also be the spherical space and the hyperbolic space.",Jinta Zheng;Eugene Zhang;Yue Zhang 0009,Jinta Zheng;Eugene Zhang;Yue Zhang,"Oregon State University, USA;Oregon State University, USA;Oregon State University, USA",0.1109/tvcg.2020.3030431;10.1109/tvcg.2017.2744038;10.1109/tvcg.2018.2864768,"Kaleidoscopic Orbifolds,Orbifold Visualization,Math Visualization,Orbifold Construction,Spherical Geometry,Hyperbolic Geometry",,0.0,36.0,214.0,,,based orbifold visualization;hyperbolic space;polygon serves floor;scene reflections edited;given arbitrary,0.7131;0.4431;0.3597;0.3065;0.0703,"[np.int64(-1), -1, -1, -1, -1]",125;-1;-1;-1;-1,125,125,Celestial Visualization
InfoVis,1999,Evaluating a visualisation of image similarity as a tool for image browsing,10.1109/infvis.1999.801855,http://dx.doi.org/10.1109/INFVIS.1999.801855,36.0,,C,"A similarity metric based on the low-level content of images can be used to create a visualisation in which visually similar images are displayed close to each other. We are carrying out a series of experiments to evaluate the usefulness of this type of visualisation as an image browsing aid. The initial experiment, described, considered whether people would find a given photograph more quickly in a visualisation than in a randomly arranged grid of images. The results show that the subjects were faster with the visualisation, although in post-experiment interviews many of them said that they preferred the clarity and regularity of the grid. We describe an algorithm with which the best aspects of the two layout types can be combined.",Kerry Rodden;Wojciech Basalaj;David Sinclair;Kenneth R. Wood,K. Rodden;W. Basalaj;D. Sinclair;K. Wood,"Computer Laboratory, University of Cambridge, Cambridge, UK;Computer Laboratory, University of Cambridge, Cambridge, UK;AT and T Laboratories, Cambridge, UK;AT and T Laboratories, Cambridge, UK",0.1109/infvis.1999.801855,,113.0,25.0,17.0,236.0,,,visually similar images;best aspects layout;regularity grid algorithm;low level;carrying series,0.6448;0.3190;0.2895;0.0338;0.0122,"[np.int64(-1), -1, -1, -1, -1]",14;-1;-1;-1;-1,14,14,Image Dataset Comparison
InfoVis,2008,Particle-based labeling: Fast point-feature labeling without obscuring other visual features,10.1109/tvcg.2008.152,http://dx.doi.org/10.1109/TVCG.2008.152,1237.0,1244.0,J,"In many information visualization techniques, labels are an essential part to communicate the visualized data. To preserve the expressiveness of the visual representation, a placed label should neither occlude other labels nor visual representatives (e.g., icons, lines) that communicate crucial information. Optimal, non-overlapping labeling is an NP-hard problem. Thus, only a few approaches achieve a fast non-overlapping labeling in highly interactive scenarios like information visualization. These approaches generally target the point-feature label placement (PFLP) problem, solving only label-label conflicts. This paper presents a new, fast, solid and flexible 2D labeling approach for the PFLP problem that additionally respects other visual elements and the visual extent of labeled features. The results (number of placed labels, processing time) of our particle-based method compare favorably to those of existing techniques. Although the esthetic quality of non-real-time approaches may not be achieved with our method, it complies with practical demands and thus supports the interactive exploration of information spaces. In contrast to the known adjacent techniques, the flexibility of our technique enables labeling of dense point clouds by the use of non-occluding distant labels. Our approach is independent of the underlying visualization technique, which enables us to demonstrate the application of our labeling method within different information visualization scenarios.",Martin Luboschik;Heidrun Schumann;Hilko Cords,Martin Luboschik;Heidrun Schumann;Hilko Cords,"University of Rostock, Germany;University of Rostock, Germany;University of Rostock, Germany",10.1109/tvcg.2006.136;10.1109/tvcg.2006.136;10.1109/visual.2005.1532856,"Interactive labeling, dynamic labeling, automatic label placement, occlusion-free, information visualization",88.0,50.0,23.0,786.0,,,information visualization;labeling dense point;particle;placement pflp problem;hard,0.5756;0.4783;0.2606;0.2045;0.0631,"[np.int64(-1), -1, -1, -1, -1]",98;-1;-1;-1;-1,98,98,Information Visualization
Vis,1997,Isosurface extraction using particle systems,10.1109/visual.1997.663930,http://dx.doi.org/10.1109/VISUAL.1997.663930,495.0,498.0,C,"Presents a new approach to isosurface extraction from volume data using particle systems. Particle behavior is dynamic and can be based on laws of physics or artificial rules. For isosurface extraction, we program particles to be attracted towards a specific surface value while simultaneously repelling adjacent particles. The repulsive forces are based on the curvature of the surface at that location. A birth-death process results in a denser concentration of particles in areas of high curvature and sparser populations in areas of lower curvature. The overall level of detail is controlled through a scaling factor that increases or decreases the repulsive forces of the particles. Once particles reach equilibrium, their locations are used as vertices in generating a triangular mesh of the surface. The advantages of our approach include: vertex densities are based on surface features rather than on the sampling rate of the volume; a single scaling factor simplifies level-of-detail control; and meshing is efficient because it uses neighbor information that has already been generated during the force calculations.",Patricia Crossno;Edward Angel,P. Crossno;E. Angel,"Department of Computer Science, University of New Mexico, USA;Department of Computer Science, University of New Mexico, USA",10.1109/visual.1993.398880;10.1109/visual.1993.398880,,101.0,24.0,9.0,136.0,,,densities based surface;repulsive forces particles;extraction program;vertices generating triangular;simultaneously,0.6053;0.2874;0.2475;0.1584;-0.0444,"[np.int64(-1), -1, -1, -1, -1]",124;-1;-1;-1;-1,124,124,Volumetric Surface Visualization
VAST,2015,VA2: A Visual Analytics Approach for Evaluating Visual Analytics Applications,10.1109/tvcg.2015.2467871,http://dx.doi.org/10.1109/TVCG.2015.2467871,61.0,70.0,J,"Evaluation has become a fundamental part of visualization research and researchers have employed many approaches from the field of human-computer interaction like measures of task performance, thinking aloud protocols, and analysis of interaction logs. Recently, eye tracking has also become popular to analyze visual strategies of users in this context. This has added another modality and more data, which requires special visualization techniques to analyze this data. However, only few approaches exist that aim at an integrated analysis of multiple concurrent evaluation procedures. The variety, complexity, and sheer amount of such coupled multi-source data streams require a visual analytics approach. Our approach provides a highly interactive visualization environment to display and analyze thinking aloud, interaction, and eye movement data in close relation. Automatic pattern finding algorithms allow an efficient exploratory search and support the reasoning process to derive common eye-interaction-thinking patterns between participants. In addition, our tool equips researchers with mechanisms for searching and verifying expected usage patterns. We apply our approach to a user study involving a visual analytics application and we discuss insights gained from this joint analysis. We anticipate our approach to be applicable to other combinations of evaluation techniques and a broad class of visualization applications.",Tanja Blascheck;Markus John;Kuno Kurzhals;Steffen Koch 0001;Thomas Ertl,Tanja Blascheck;Markus John;Kuno Kurzhals;Steffen Koch;Thomas Ertl,"Institute for Visualization and Interactive Systems (VIS), University of Stuttgart, Germany;Institute for Visualization and Interactive Systems (VIS), University of Stuttgart, Germany;Visualization Research Center, University of Stuttgart, Germany;Institute for Visualization and Interactive Systems (VIS), University of Stuttgart, Germany;Institute for Visualization and Interactive Systems (VIS), University of Stuttgart, Germany",10.1109/tvcg.2012.276;10.1109/tvcg.2013.124;10.1109/vast.2008.4677361;10.1109/vast.2009.5333878;10.1109/tvcg.2014.2346677;10.1109/vast.2010.5653598;10.1109/tvcg.2012.273;10.1109/visual.2005.1532837;10.1109/tvcg.2012.276,"visual analytics, qualitative evaluation, thinking aloud, interaction logs, eye tracking, time series data",,69.0,53.0,2679.0,HM,,visual analytics;thinking aloud protocols;recently eye;research researchers employed;derive common,0.6403;0.3537;0.2193;0.0892;0.0679,"[np.int64(-1), -1, -1, -1, -1]",108;-1;-1;-1;-1,108,108,Visual Analytics
VAST,2020,Diagnosing Concept Drift with Visual Analytics,10.1109/vast50239.2020.00007,http://dx.doi.org/10.1109/VAST50239.2020.00007,12.0,23.0,C,"Concept drift is a phenomenon in which the distribution of a data stream changes over time in unforeseen ways, causing prediction models built on historical data to become inaccurate. While a variety of automated methods have been developed to identify when concept drift occurs, there is limited support for analysts who need to understand and correct their models when drift is detected. In this paper, we present a visual analytics method, DriftVis, to support model builders and analysts in the identification and correction of concept drift in streaming data. DriftVis combines a distribution-based drift detection method with a streaming scatterplot to support the analysis of drift caused by the distribution changes of data streams and to explore the impact of these changes on the model’s accuracy. A quantitative experiment and two case studies on weather prediction and text classification have been conducted to demonstrate our proposed tool and illustrate how visual analytics can be used to support the detection, examination, and correction of concept drift.",Weikai Yang;Zhen Li 0044;Mengchen Liu;Yafeng Lu;Kelei Cao;Ross Maciejewski;Shixia Liu,Weikai Yang;Zhen Li;Mengchen Liu;Yafeng Lu;Kelei Cao;Ross Maciejewski;Shixia Liu,"School of Software, BNRist, Tsinghua University;School of Software, BNRist, Tsinghua University;Microsoft;Bloomberg L.P.;School of Software, BNRist, Tsinghua University;Computer Science, Arizona State University;School of Software, BNRist, Tsinghua University",10.1109/tvcg.2018.2864499;10.1109/tvcg.2017.2744878;10.1109/tvcg.2019.2934619;10.1109/vast50239.2020.00006;10.1109/tvcg.2018.2864504;10.1109/visual.2005.1532820;10.1109/tvcg.2017.2744158;10.1109/tvcg.2018.2865044;10.1109/tvcg.2018.2864838;10.1109/tvcg.2016.2598828;10.1109/tvcg.2016.2598838;10.1109/tvcg.2017.2744358;10.1109/tvcg.2019.2934267;10.1109/tvcg.2018.2864812;10.1109/vast.2017.8585721;10.1109/tvcg.2019.2934631;10.1109/tvcg.2016.2598831;10.1109/tvcg.2017.2744938;10.1109/vast.2018.8802509;10.1109/tvcg.2018.2865027;10.1109/tvcg.2018.2864500;10.1109/tvcg.2019.2934659;10.1109/tvcg.2018.2865043;10.1109/tvcg.2013.212;10.1109/tvcg.2017.2744683;10.1109/tvcg.2018.2864499,"Concept drift,streaming data,change detection,scatterplot,t-SNE.",16.0,21.0,76.0,1097.0,,,identify concept drift;weather prediction text;scatterplot support;model builders;correction,0.7139;0.3175;0.3137;0.1109;0.0434,"[np.int64(-1), -1, -1, -1, -1]",112;-1;-1;-1;-1,112,112,Temporal Feature Analysis
Vis,1996,The Design and Implementation of an Object-Oriented Toolkit for 3D Graphics and Visualization,10.1109/visual.1996.567752,http://doi.ieeecomputersociety.org/10.1109/VISUAL.1996.567752,93.0,100.0,C,"The Visualization Toolkit (vtk) is a freely available C++ class library for 3D graphics and visualization. We describe core characteristics of the toolkit. This includes a description of object oriented models for graphics and visualization; methods for synchronizing system execution; a summary of data representation schemes; the role of C++; issues in portability across PC and Unix systems; and how we automatically wrap the C++ class library with interpreted languages such as Java and Tcl. We also demonstrate the capabilities of the system for scalar, vector, tensor, and other visualization techniques.",William J. Schroeder;Ken Martin;William E. Lorensen,W.J. Schroeder;K.M. Martin;W.E. Lorensen,"GE Corp. Res. & Dev., USA;;",10.1109/visual.1993.398878;10.1109/visual.1994.346303;10.1109/visual.1992.235205;10.1109/visual.1995.480821,,402.0,95.0,0.0,150.0,TT,,3d graphics visualization;toolkit includes description;scalar;issues portability pc;methods synchronizing execution,0.6884;0.2728;0.1634;0.0733;0.0722,"[np.int64(-1), -1, -1, -1, -1]",82;-1;-1;-1;-1,82,82,3D/4D Visualization
Vis,2001,Wavelet representation of contour sets,10.1109/visual.2001.964525,http://dx.doi.org/10.1109/VISUAL.2001.964525,303.0,310.0,C,"We present a new wavelet compression and multiresolution modeling approach for sets of contours (level sets). In contrast to previous wavelet schemes, our algorithm creates a parametrization of a scalar field induced by its contours and compactly stores this parametrization rather than function values sampled on a regular grid. Our representation is based on hierarchical polygon meshes with subdivision connectivity whose vertices are transformed into wavelet coefficients. From this sparse set of coefficients, every set of contours can be efficiently reconstructed at multiple levels of resolution. When applying lossy compression, introducing high quantization errors, our method preserves contour topology, in contrast to compression methods applied to the corresponding field function. We provide numerical results for scalar fields defined on planar domains. Our approach generalizes to volumetric domains, time-varying contours, and level sets of vector fields.",Martin Bertram 0001;Daniel E. Laney;Mark A. Duchaineau;Charles D. Hansen;Bernd Hamann;Kenneth I. Joy,M. Bertram;D.E. Laney;M.A. Duchaineau;C.D. Hansen;B. Hamann;K.I. Joy,"Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany and SCI Institute, University of Utah, Salt Lake, UT, USA;Center for Applied Scientific Computing CASC, Lawrence Livemore National Laboratory, Livermore, CA, USA;Center for Applied Scientific Computing CASC, Lawrence Livemore National Laboratory, Livermore, CA, USA;Center for Image Processing and Integrated Computing CIPIC Department of Computer Science, University of California, Davis, CA, USA;SCI Institute, University of Utah, Salt Lake, UT, USA;Center for Image Processing and Integrated Computing CIPIC Department of Computer Science, University of California, Davis, CA, USA",10.1109/visual.1994.346332;10.1109/visual.2000.885720;10.1109/visual.2000.885716;10.1109/visual.2000.885705;10.1109/visual.1994.346332,"Contours, Geometry Compression, Iso-surfaces, Level Sets, Multiresolution Methods, Wavelets",14.0,3.0,21.0,90.0,,,wavelet compression multiresolution;contours efficiently;fields defined planar;lossy;sets,0.5814;0.5136;0.1971;0.0804;0.0121,"[np.int64(-1), np.int64(-1), -1, -1, -1]",22;126;-1;-1;-1,22;126,22,Wavelet Techniques
Vis,2001,Case study: medical Web service for the automatic 3D documentation for neuroradiological diagnosis,10.1109/visual.2001.964542,http://dx.doi.org/10.1109/VISUAL.2001.964542,425.0,428.0,C,"The case study presents a medical Web service for the automatic analysis of CTA (computer tomography angiography) datasets. It aims at the detection and evaluation of intracranial aneurysms which are malformations of cerebral blood vessels. To obtain a standardized 3D visualization, digital videos are automatically generated. The time-consuming video production caused by the manual delineation of structures, software based volume rendering, and the interactive definition of an optimized camera path is considerably improved with a fully automatic strategy. Therefore, a previously suggested approach (C. Rezk-Salama, 2000) is applied which uses an optimized transfer function as a template and automatically adapts it to an individual dataset. Furthermore, we introduce hardware-accelerated morphologic filtering in order to detect the location of mid-size and giant aneurysms. The actual generation of the video is finally integrated into a hardware accelerated off-screen rendering process based on 3D texture mapping, ensuring fast visualization of high quality. Overall, clinical routine can be considerably assisted by providing a Web based service combining automatic detection and standardized visualization.",Sabine Iserhardt-Bauer;Peter Hastreiter;Thomas Ertl;K. Eberhardt;Bernd Tomandl,S. Iserhardt-Bauer;P. Hastreiter;T. Ertl;K. Eberhardt;B. Tomandl,"Visualization and Interactive Systems Group, University of Stuttgart, Germany;Neurocenter, University of Erlangen Nuremberg, Germany;Visualization and Interactive Systems Group, University of Stuttgart, Germany;Division of Neuroradiology, University of Erlangen Nuremberg, Germany;Division of Neuroradiology, University of Erlangen Nuremberg, Germany",10.1109/visual.2000.885729;10.1109/visual.2000.885729,"Medical visualization, segmentation, automatic web service, video generation",15.0,2.0,11.0,128.0,,,computer tomography angiography;based 3d texture;video production caused;based service combining;definition,0.5708;0.4086;0.1848;0.0836;0.0123,"[np.int64(-1), -1, -1, -1, -1]",33;-1;-1;-1;-1,33,33,Medical Imaging Analysis
VAST,2014,Transforming Scagnostics to Reveal Hidden Features,10.1109/tvcg.2014.2346572,http://dx.doi.org/10.1109/TVCG.2014.2346572,1624.0,1632.0,J,"Scagnostics (Scatterplot Diagnostics) were developed by Wilkinson et al. based on an idea of Paul and John Tukey, in order to discern meaningful patterns in large collections of scatterplots. The Tukeys' original idea was intended to overcome the impediments involved in examining large scatterplot matrices (multiplicity of plots and lack of detail). Wilkinson's implementation enabled for the first time scagnostics computations on many points as well as many plots. Unfortunately, scagnostics are sensitive to scale transformations. We illustrate the extent of this sensitivity and show how it is possible to pair statistical transformations with scagnostics to enable discovery of hidden structures in data that are not discernible in untransformed visualizations.",Dang Tuan Nhon;Leland Wilkinson,Tuan Nhon Dang;Leland Wilkinson,"Department of Computer Science, University of Illinois at Chicago;Department of Computer Science, University of Illinois at Chicago",10.1109/tvcg.2006.163;10.1109/infvis.2005.1532142;10.1109/tvcg.2013.187;10.1109/tvcg.2011.167;10.1109/vast.2006.261423;10.1109/tvcg.2010.184;10.1109/vast.2011.6102437;10.1109/vast.2007.4389006;10.1109/tvcg.2006.163,"Scagnostics, Scatterplot matrix, Transformation, High-Dimensional Visual Analytics",46.0,26.0,44.0,783.0,,,scatterplot diagnostics developed;sensitive scale transformations;patterns large collections;multiplicity;al,0.6910;0.4130;0.2866;0.1130;0.0049,"[np.int64(-1), -1, -1, -1, -1]",68;-1;-1;-1;-1,68,68,Scatterplot Visualization
Vis,1995,"Defining, computing, and visualizing molecular interfaces",10.1109/visual.1995.480793,http://dx.doi.org/10.1109/VISUAL.1995.480793,36.0,,C,"A parallel, analytic approach for defining and computing the inter and intra molecular interfaces in three dimensions is described. The molecular interface surfaces are derived from approximations to the power diagrams over the participating molecular units. For a given molecular interface our approach can generate a family of interface surfaces parametrized by /spl alpha/ and /spl beta/, where /spl alpha/ is the radius of the solvent molecule (also known as the probe radius) and /spl beta/ is the interface radius that defines the size of the molecular interface. Molecular interface surfaces provide biochemists with a powerful tool to study surface complementarity and to efficiently characterize the interactions during a protein substrate docking. The complexity of our algorithm for molecular environments is O(nk log/sup 2/ k), where n is the number of atoms in the participating molecular units and k is the average number of neighboring atoms-a constant, given /spl alpha/ and /spl beta/.",Amitabh Varshney;Frederick P. Brooks Jr.;David C. Richardson;William V. Wright;Dinesh Manocha,A. Varshney;F.P. Brooks;D.C. Richardson;W.V. Wright;D. Manocha,"Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA;Department of Computer Science, University of North Carolina, Chapel Hill, Chapel Hill, NC, USA;Department of Biochemistry, Duke University Medical Center, Durham, NC, USA;Department of Computer Science, University of North Carolina, Chapel Hill, Chapel Hill, NC, USA;Department of Computer Science, University of North Carolina, Chapel Hill, Chapel Hill, NC, USA",10.1109/visual.1993.398878;10.1109/visual.1993.398878,,45.0,7.0,19.0,91.0,,,molecular interface approach;docking complexity algorithm;parallel;environments nk;log sup number,0.7336;0.3866;0.0905;0.0317;-0.0299,"[np.int64(-1), -1, -1, -1, -1]",115;-1;-1;-1;-1,115,115,Structural Connectivity Analysis
Vis,1997,The multilevel finite element method for adaptive mesh optimization and visualization of volume data,10.1109/visual.1997.663907,http://dx.doi.org/10.1109/VISUAL.1997.663907,387.0,394.0,C,"Multilevel representations and mesh reduction techniques have been used for accelerating the processing and the rendering of large datasets representing scalar- or vector-valued functions defined on complex 2D or 3D meshes. We present a method based on finite element approximations which combines these two approaches in a new and unique way that is conceptually simple and theoretically sound. The main idea is to consider mesh reduction as an approximation problem in appropriate finite element spaces. Starting with a very coarse triangulation of the functional domain, a hierarchy of highly non-uniform tetrahedral (or triangular in 2D) meshes is generated adaptively by local refinement. This process is driven by controlling the local error of the piecewise linear finite element approximation of the function on each mesh element. A reliable and efficient computation of the global approximation error and a multilevel preconditioned conjugate gradient solver are the key components of the implementation. In order to analyze the properties and advantages of the adaptively generated tetrahedral meshes, we implemented two volume visualization algorithms: an iso-surface extractor and a ray-caster. Both algorithms, while conceptually simple, show significant speedups over conventional methods delivering comparable rendering quality from adaptively compressed datasets.",Roberto Grosso;Christoph Lürig;Thomas Ertl,R. Grosso;C. Lurig;T. Ertl,"Computer Graphics Group, Universität Erlangen Nürnberg, Germany;Computer Graphics Group, Universität Erlangen Nürnberg, Germany;Computer Graphics Group, Universität Erlangen Nürnberg, Germany",10.1109/visual.1996.568127;10.1109/visual.1996.568124;10.1109/visual.1995.480805;10.1109/visual.1996.568121;10.1109/visual.1993.398852;10.1109/visual.1995.480806;10.1109/visual.1996.567606;10.1109/visual.1996.568127,,133.0,38.0,32.0,281.0,,,mesh reduction techniques;multilevel representations;tetrahedral triangular 2d;scalar vector valued;approximation error,0.6374;0.3242;0.3191;0.1507;0.1277,"[np.int64(-1), -1, -1, -1, -1]",79;-1;-1;-1;-1,79,79,Mesh Simplification Techniques
