Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp,Keywords,RelevanceScore,KeywordClusters,RefinedKeywordClusters,AllClusters,DominantCluster,Area
Vis,2021,Revisiting Dimensionality Reduction Techniques for Visual Cluster Analysis: An Empirical Study,10.1109/tvcg.2021.3114694,http://dx.doi.org/10.1109/TVCG.2021.3114694,529.0,539.0,J,"Dimensionality Reduction (DR) techniques can generate 2D projections and enable visual exploration of cluster structures of high-dimensional datasets. However, different DR techniques would yield various patterns, which significantly affect the performance of visual cluster analysis tasks. We present the results of a user study that investigates the influence of different DR techniques on visual cluster analysis. Our study focuses on the most concerned property types, namely the linearity and locality, and evaluates twelve representative DR techniques that cover the concerned properties. Four controlled experiments were conducted to evaluate how the DR techniques facilitate the tasks of 1) cluster identification, 2) membership identification, 3) distance comparison, and 4) density comparison, respectively. We also evaluated users' subjective preference of the DR techniques regarding the quality of projected clusters. The results show that: 1) Non-linear and Local techniques are preferred in cluster identification and membership identification; 2) Linear techniques perform better than non-linear techniques in density comparison; 3) UMAP (Uniform Manifold Approximation and Projection) and t-SNE (t-Distributed Stochastic Neighbor Embedding) perform the best in cluster identification and membership identification; 4) NMF (Nonnegative Matrix Factorization) has competitive performance in distance comparison; 5) t-SNLE (t-Distributed Stochastic Neighbor Linear Embedding) has competitive performance in density comparison.",Jiazhi Xia;Yuchen Zhang;Jie Song;Yang Chen;Yunhai Wang;Shixia Liu,Jiazhi Xia;Yuchen Zhang;Jie Song;Yang Chen;Yunhai Wang;Shixia Liu,"School of Computer Science and Engineering, Central South University, China;School of Computer Science and Engineering, Central South University, China;School of Computer Science and Engineering, Central South University, China;I4 data, United States;School of Computer Science and Technology, Shandong University, China;School of Software, Tsinghua University, China",10.1109/tvcg.2015.2467552;10.1109/tvcg.2011.220;10.1109/infvis.2003.1249017;10.1109/tvcg.2016.2598831;10.1109/tvcg.2017.2745258;10.1109/vast47406.2019.8986943;10.1109/tvcg.2020.3030432;10.1109/tvcg.2019.2934660;10.1109/tvcg.2018.2865020;10.1109/tvcg.2015.2467552,"Dimensionality reduction,visual cluster analysis,perception-based evaluation",17.0,39.0,61.0,1783.0,,,visual cluster analysis;linearity locality evaluates;significantly affect performance;identification nmf nonnegative;property types,0.7279;0.2847;0.0893;0.0846;0.0654,"[np.int64(-1), -1, -1, -1, -1]",6;-1;-1;-1;-1,6,6,Multivariate Data Visualization
InfoVis,2008,HiPP: A Novel Hierarchical Point Placement Strategy and its Application to the Exploration of Document Collections,10.1109/tvcg.2008.138,http://dx.doi.org/10.1109/TVCG.2008.138,1229.0,1236.0,J,"Point placement strategies aim at mapping data points represented in higher dimensions to bi-dimensional spaces and are frequently used to visualize relationships amongst data instances. They have been valuable tools for analysis and exploration of data sets of various kinds. Many conventional techniques, however, do not behave well when the number of dimensions is high, such as in the case of documents collections. Later approaches handle that shortcoming, but may cause too much clutter to allow flexible exploration to take place. In this work we present a novel hierarchical point placement technique that is capable of dealing with these problems. While good grouping and separation of data with high similarity is maintained without increasing computation cost, its hierarchical structure lends itself both to exploration in various levels of detail and to handling data in subsets, improving analysis capability and also allowing manipulation of larger data sets.",Fernando Vieira Paulovich;Rosane Minghim,Fernando V. Paulovich;Rosane Minghim,"ICMC, Instituto de Ciências Matemáticas e de Computaçãao, University of São Paulo, Sao Paulo, Brazil;ICMC, Instituto de Ciências Matemáticas e de Computaçãao, University of São Paulo, Sao Paulo, Brazil",10.1109/visual.1999.809866;10.1109/visual.1991.175815;10.1109/vast.2007.4389002;10.1109/visual.1996.567787,"Text and document visualization, hierarchical multidimensional visualization, visual knowledge discovery, high-dimensional data",118.0,62.0,24.0,836.0,,,hierarchical point placement;documents collections;bi dimensional spaces;data;increasing computation cost,0.6046;0.4158;0.3215;0.2702;0.1649,"[np.int64(-1), np.int64(-1), -1, -1, -1]",-1;-1;-1;-1;-1,,-1,3D Medical Visualization
Vis,2011,Vortex Visualization in Ultra Low Reynolds Number Insect Flight,10.1109/tvcg.2011.260,http://dx.doi.org/10.1109/TVCG.2011.260,2071.0,2079.0,J,"We present the visual analysis of a biologically inspired CFD simulation of the deformable flapping wings of a dragonfly as it takes off and begins to maneuver, using vortex detection and integration-based flow lines. The additional seed placement and perceptual challenges introduced by having multiple dynamically deforming objects in the highly unsteady 3D flow domain are addressed. A brief overview of the high speed photogrammetry setup used to capture the dragonfly takeoff, parametric surfaces used for wing reconstruction, CFD solver and underlying flapping flight theory is presented to clarify the importance of several unsteady flight mechanisms, such as the leading edge vortex, that are captured visually. A novel interactive seed placement method is used to simplify the generation of seed curves that stay in the vicinity of relevant flow phenomena as they move with the flapping wings. This method allows a user to define and evaluate the quality of a seed's trajectory over time while working with a single time step. The seed curves are then used to place particles, streamlines and generalized streak lines. The novel concept of flowing seeds is also introduced in order to add visual context about the instantaneous vector fields surrounding smoothly animate streak lines. Tests show this method to be particularly effective at visually capturing vortices that move quickly or that exist for a very brief period of time. In addition, an automatic camera animation method is used to address occlusion issues caused when animating the immersed wing boundaries alongside many geometric flow lines. Each visualization method is presented at multiple time steps during the up-stroke and down-stroke to highlight the formation, attachment and shedding of the leading edge vortices in pairs of wings. Also, the visualizations show evidence of wake capture at stroke reversal which suggests the existence of previously unknown unsteady lift generation mechanisms that are unique to quad wing insects.",Christopher Koehler;Thomas Wischgoll;Haibo Dong;Zachary Gaston,Christopher Koehler;Thomas Wischgoll;Haibo Dong;Zachary Gaston,"College of Engineering and Computer Science, Wright State University, USA;College of Engineering and Computer Science, Wright State University, USA;College of Mechanical and Materials Engineering, Wright State University, USA;College of Mechanical and Materials Engineering, Wright State University, USA",10.1109/visual.2002.1183789;10.1109/visual.2005.1532830;10.1109/tvcg.2007.70557;10.1109/visual.2005.1532831;10.1109/tvcg.2008.163;10.1109/tvcg.2010.169;10.1109/visual.2005.1532848;10.1109/visual.2005.1532850;10.1109/tvcg.2010.212;10.1109/visual.2000.885690;10.1109/tvcg.2010.198;10.1109/visual.2004.113;10.1109/visual.1998.745296;10.1109/tvcg.2007.70595;10.1109/tvcg.2009.190;10.1109/tvcg.2008.133;10.1109/tvcg.2006.199;10.1109/visual.2002.1183821;10.1109/tvcg.2007.70545;10.1109/tvcg.2010.166;10.1109/tvcg.2006.201;10.1109/visual.2002.1183789,"Flow visualization, flowing seed points, streak lines, streamlines, insect flight, vortex visualization, unsteady flow",42.0,31.0,47.0,1318.0,,,wings visualizations;reconstruction cfd solver;caused animating immersed;detection integration based;simplify generation seed,0.6005;0.3056;0.1888;0.1145;0.0880,"[np.int64(-1), -1, -1, -1, -1]",-1;-1;-1;-1;-1,,-1,3D Medical Visualization
Vis,2021,MultiVision: Designing Analytical Dashboards with Deep Learning Based Recommendation,10.1109/tvcg.2021.3114826,http://dx.doi.org/10.1109/TVCG.2021.3114826,162.0,172.0,J,"We contribute a deep-learning-based method that assists in designing analytical dashboards for analyzing a data table. Given a data table, data workers usually need to experience a tedious and time-consuming process to select meaningful combinations of data columns for creating charts. This process is further complicated by the needs of creating dashboards composed of multiple views that unveil different perspectives of data. Existing automated approaches for recommending multiple-view visualizations mainly build on manually crafted design rules, producing sub-optimal or irrelevant suggestions. To address this gap, we present a deep learning approach for selecting data columns and recommending multiple charts. More importantly, we integrate the deep learning models into a mixed-initiative system. Our model could make recommendations given optional user-input selections of data columns. The model, in turn, learns from provenance data of authoring logs in an offline manner. We compare our deep learning model with existing methods for visualization recommendation and conduct a user study to evaluate the usefulness of the system.",Aoyu Wu;Yun Wang 0012;Mengyu Zhou;Xinyi He;Haidong Zhang;Huamin Qu;Dongmei Zhang 0001,Aoyu Wu;Yun Wang;Mengyu Zhou;Xinyi He;Haidong Zhang;Huamin Qu;Dongmei Zhang,"Hong Kong University of Science and Technology, Hong Kong and Microsoft Research Area, United States;Microsoft Research Area, United States;Microsoft Research Area, United States;Microsoft Research Area, United States;Microsoft Research Area, United States;Hong Kong University of Science and Technology, Hong Kong;Microsoft Research Area, United States",10.1109/tvcg.2020.3030338;10.1109/tvcg.2019.2934810;10.1109/tvcg.2019.2934332;10.1109/tvcg.2018.2865138;10.1109/tvcg.2013.119;10.1109/tvcg.2016.2598620;10.1109/tvcg.2017.2744019;10.1109/tvcg.2018.2865235;10.1109/tvcg.2007.70594;10.1109/tvcg.2020.3030430;10.1109/tvcg.2018.2865240;10.1109/tvcg.2020.3030387;10.1109/tvcg.2017.2744198;10.1109/tvcg.2014.2346291;10.1109/tvcg.2018.2865158;10.1109/tvcg.2018.2864903;10.1109/tvcg.2016.2599030;10.1109/tvcg.2020.3030403;10.1109/tvcg.2020.3030396;10.1109/tvcg.2018.2865145;10.1109/tvcg.2017.2744843;10.1109/tvcg.2019.2934798;10.1109/tvcg.2019.2934398;10.1109/tvcg.2015.2467191;10.1109/tvcg.2020.3030423,"Visualization Recommendation,Deep Learning,Multiple-View,Dashboard,Mixed-Initiative,Visualization Provenance",14.0,31.0,73.0,1788.0,,,dashboards analyzing data;present deep learning;select meaningful combinations;manually crafted;irrelevant,0.5685;0.3128;0.2108;0.1375;0.0307,"[np.int64(-1), -1, -1, -1, -1]",9;-1;-1;-1;-1,9,9,Data Visualization Tools
Vis,2001,Chromatin decondensation: case study of tracking features in confocal data,10.1109/visual.2001.964546,http://dx.doi.org/10.1109/VISUAL.2001.964546,441.0,444.0,C,"In this case study we discuss an interactive feature tracking system and its use for the analysis of chromatin decondensation. Features are described as points in a multidimensional attribute space. Distances between points are used as a measure for feature correspondence. Users can interactively experiment with the correspondence measure in order to gain insight in chromatin movement. In addition, by defining time as an attribute, tracking problems related to noisy confocal data can be circumvented.",Wim C. de Leeuw;Robert van Liere,W. de Leeuw;R. van Liere,"Center of Mathematics and Computer Science, Amsterdam, Netherlands;Center of Mathematics and Computer Science, Amsterdam, Netherlands",10.1109/visual.2000.885735,"feature tracking, multidimensional visualization, biomedical imaging",13.0,3.0,8.0,63.0,,,insight chromatin movement;measure feature correspondence;users interactively;noisy confocal;addition defining time,0.6764;0.3660;0.2113;0.1903;0.0508,"[np.int64(-1), np.int64(-1), -1, -1, -1]",-1;1;-1;-1;-1,1,1,Feature Correspondence Analysis
InfoVis,2017,Skeleton-Based Scagnostics,10.1109/tvcg.2017.2744339,http://dx.doi.org/10.1109/TVCG.2017.2744339,542.0,552.0,J,"Scatterplot matrices (SPLOMs) are widely used for exploring multidimensional data. Scatterplot diagnostics (scagnostics) approaches measure characteristics of scatterplots to automatically find potentially interesting plots, thereby making SPLOMs more scalable with the dimension count. While statistical measures such as regression lines can capture orientation, and graph-theoretic scagnostics measures can capture shape, there is no scatterplot characterization measure that uses both descriptors. Based on well-known results in shape analysis, we propose a scagnostics approach that captures both scatterplot shape and orientation using skeletons (or medial axes). Our representation can handle complex spatial distributions, helps discovery of principal trends in a multiscale way, scales visually well with the number of samples, is robust to noise, and is automatic and fast to compute. We define skeleton-based similarity metrics for the visual exploration and analysis of SPLOMs. We perform a user study to measure the human perception of scatterplot similarity and compare the outcome to our results as well as to graph-based scagnostics and other visual quality metrics. Our skeleton-based metrics outperform previously defined measures both in terms of closeness to perceptually-based similarity and computation time efficiency.",José Matute;Alexandru C. Telea;Lars Linsen,José Matute;Alexandru C. Telea;Lars Linsen,"Institute of Computer Science, University of Münster, Germany;Johann Bernoulli Institute for Mathematics and Computer Science, University of Groningen, Groningen, The Netherlands;Institute of Computer Science, University of Münster, Germany",10.1109/vast.2011.6102437;10.1109/tvcg.2011.233;10.1109/tvcg.2010.213;10.1109/tvcg.2011.223;10.1109/tvcg.2011.220;10.1109/vast.2008.4677367;10.1109/vast.2009.5332628;10.1109/vast.2011.6102437,"Multidimensional Data (primary keyword),High-Dimensional Data",30.0,22.0,65.0,729.0,,,perception scatterplot similarity;define skeleton;sploms widely used;representation handle complex;perform,0.6837;0.2581;0.2043;0.1282;0.0343,"[np.int64(-1), -1, -1, -1, -1]",-1;-1;-1;-1;-1,,-1,3D Medical Visualization
Vis,1997,Two-phase perspective ray casting for interactive volume navigation,10.1109/visual.1997.663878,http://dx.doi.org/10.1109/VISUAL.1997.663878,183.0,189.0,C,"Volume navigation is the interactive exploration of volume data sets by ""flying"" the view point through the data, producing a volume rendered view at each frame. The authors present an inexpensive perspective volume navigation method designed to run on a PC platform with accelerated 3D graphics hardware. They compute perspective projections at each frame, allow trilinear interpolation of sample points, and render both gray scale and RGB volumes by volumetric compositing. The implementation handles arbitrarily large volumes, by dynamically swapping data within the local depth-limited frustum into main memory as the viewpoint moves through the volume. They describe a new ray casting algorithm that takes advantage of the coherence inherent in adjacent frames to generate a sequence of approximate animated frames much faster than they could be computed individually. They also take advantage of the 3D graphics acceleration hardware to offload much of the alpha blending and resampling from the CPU.",Martin L. Brady;Kenneth K. Jung;H. T. Nguyen;Thinh P. Q. Nguyen,M. Brady;K. Jung;H.T. Nguyen;T. Nguyen,"Microcomputer Research Laboratories, Intel Corporation, USA;Microcomputer Research Laboratories, Intel Corporation, USA;;Microcomputer Research Laboratories, Intel Corporation, USA",10.1109/visual.1994.346340;10.1109/visual.1995.485154;10.1109/visual.1996.567603;10.1109/visual.1994.346340,"Volume navigation, volume rendering, 3D medical imaging, scientific visualization, texture mapping",67.0,9.0,18.0,130.0,,,volumetric compositing implementation;animated frames;faster;limited frustum main;data local,0.6213;0.3354;0.1005;0.0993;0.0544,"[np.int64(-1), -1, -1, -1, -1]",4;-1;-1;-1;-1,4,4,Volume Rendering Techniques
Vis,2005,Particle and texture based spatiotemporal visualization of time-dependent vector fields,10.1109/visual.2005.1532852,http://dx.doi.org/10.1109/VISUAL.2005.1532852,639.0,646.0,C,"We propose a hybrid particle and texture based approach for the visualization of time-dependent vector fields. The underlying space-time framework builds a dense vector field representation in a two-step process: 1) particle-based forward integration of trajectories in spacetime for temporal coherence, and 2) texture-based convolution along another set of paths through the spacetime for spatially correlated patterns. Particle density is controlled by stochastically injecting and removing particles, taking into account the divergence of the vector field. Alternatively, a uniform density can be maintained by placing exactly one particle in each cell of a uniform grid, which leads to particle-in-cell forward advection. Moreover, we discuss strategies of previous visualization methods for unsteady flow and show how they address issues of spatiotemporal coherence and dense visual representations. We demonstrate how our framework is capable of realizing several of these strategies. Finally, we present an efficient GPU implementation that facilitates an interactive visualization of unsteady 2D flow on Shader Model 3 compliant graphics hardware.",Daniel Weiskopf;Frederik Schramm;Gordon Erlebacher;Thomas Ertl,D. Weiskopf;F. Schramm;G. Erlebacher;T. Ertl,"Institute of Visualization and Interactive Systems, University of Stuttgart, Germany and Graphics, Usability and Visualization (GrUVi) Laboratory, Simon Fraser University, Canada;Institute of Visualization and Interactive Systems, University of Stuttgart, Germany;School of Computational Science and Information Technology, Florida State University, USA;Institute of Visualization and Interactive Systems, University of Stuttgart, Germany",10.1109/visual.2003.1250377;10.1109/visual.2003.1250363;10.1109/visual.2003.1250361;10.1109/visual.2000.885689;10.1109/visual.2003.1250402;10.1109/visual.2003.1250364;10.1109/visual.2003.1250377,"Unsteady flow visualization, visualization framework, LIC, texture advection, particle systems, GPU methods",36.0,7.0,31.0,259.0,,,particle texture based;visualization unsteady;spacetime temporal coherence;gpu implementation facilitates;account divergence,0.5397;0.3726;0.3573;0.3135;0.1209,"[np.int64(-1), np.int64(-1), np.int64(-1), -1, -1]",-1;-1;0;-1;-1,0,0,Cosmological Data Analysis
Vis,2023,Let the Chart Spark: Embedding Semantic Context into Chart with Text-to-Image Generative Model,10.1109/tvcg.2023.3326913,http://dx.doi.org/10.1109/TVCG.2023.3326913,284.0,294.0,J,"Pictorial visualization seamlessly integrates data and semantic context into visual representation, conveying complex information in an engaging and informative manner. Extensive studies have been devoted to developing authoring tools to simplify the creation of pictorial visualizations. However, mainstream works follow a retrieving-and-editing pipeline that heavily relies on retrieved visual elements from a dedicated corpus, which often compromise data integrity. Text-guided generation methods are emerging, but may have limited applicability due to their predefined entities. In this work, we propose ChartSpark, a novel system that embeds semantic context into chart based on text-to-image generative models. ChartSpark generates pictorial visualizations conditioned on both semantic context conveyed in textual inputs and data information embedded in plain charts. The method is generic for both foreground and background pictorial generation, satisfying the design practices identified from empirical research into existing pictorial visualizations. We further develop an interactive visual interface that integrates a text analyzer, editing module, and evaluation module to enable users to generate, modify, and assess pictorial visualizations. We experimentally demonstrate the usability of our tool, and conclude with a discussion of the potential of using text-to-image generative models combined with an interactive interface for visualization design.",Shishi Xiao;Suizi Huang;Yue Lin;Yilin Ye;Wei Zeng 0004,Shishi Xiao;Suizi Huang;Yue Lin;Yilin Ye;Wei Zeng,"Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China;Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China;Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China;Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China;Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China",0.1109/tvcg.2012.197;10.1109/tvcg.2015.2467732;10.1109/tvcg.2013.234;10.1109/tvcg.2019.2934810;10.1109/tvcg.2019.2934785;10.1109/tvcg.2011.175;10.1109/tvcg.2016.2598620;10.1109/tvcg.2012.221;10.1109/tvcg.2020.3030448;10.1109/tvcg.2022.3209486;10.1109/tvcg.2022.3209357;10.1109/tvcg.2019.2934398;10.1109/tvcg.2022.3209447,"pictorial visualization,generative model,authoring tool",,5.0,61.0,1226.0,,,generates pictorial visualizations;data semantic context;editing module evaluation;dedicated corpus compromise;simplify,0.6739;0.3490;0.1645;0.1555;0.0430,"[np.int64(-1), -1, -1, -1, -1]",9;-1;-1;-1;-1,9,9,Data Visualization Tools
VAST,2011,How locus of control influences compatibility with visualization style,10.1109/vast.2011.6102445,http://dx.doi.org/10.1109/VAST.2011.6102445,81.0,90.0,C,"Existing research suggests that individual personality differences are correlated with a user's speed and accuracy in solving problems with different types of complex visualization systems. In this paper, we extend this research by isolating factors in personality traits as well as in the visualizations that could have contributed to the observed correlation. We focus on a personality trait known as “locus of control,” which represents a person's tendency to see themselves as controlled by or in control of external events. To isolate variables of the visualization design, we control extraneous factors such as color, interaction, and labeling, and specifically focus on the overall layout style of the visualizations. We conduct a user study with four visualizations that gradually shift from an indentation metaphor to a containment metaphor and compare the participants' speed, accuracy, and preference with their locus of control. Our findings demonstrate that there is indeed a correlation between the two: participants with an internal locus of control perform more poorly with visualizations that employ a containment metaphor, while those with an external locus of control perform well with such visualizations. We discuss a possible explanation for this relationship based in cognitive psychology and propose that these results can be used to better understand how people use visualizations and how to adapt visual analytics design to an individual user's needs.",Caroline Ziemkiewicz;R. Jordan Crouser;Ashley Rye Yauilla;Sara L. Su;William Ribarsky;Remco Chang,Caroline Ziemkiewicz;R. Jordan Crouser;Ashley Rye Yauilla;Sara L. Su;William Ribarsky;Remco Chang,"Brown University, USA;Tufts University, USA;Winthrop University, USA;Tufts University, USA;UNC-Charlotte, USA;Tufts University, USA",10.1109/vast.2010.5653587;10.1109/tvcg.2008.171;10.1109/tvcg.2008.121;10.1109/vast.2010.5653587,,70.0,40.0,31.0,509.0,HM,,user study visualizations;personality trait;indentation metaphor;speed accuracy solving;control extraneous,0.6874;0.2593;0.2516;0.1096;0.0234,"[np.int64(-1), -1, -1, -1, -1]",9;-1;-1;-1;-1,9,9,Data Visualization Tools
Vis,1999,Visual debugging of visualization software: a case study for particle systems,10.1109/visual.1999.809919,http://dx.doi.org/10.1109/VISUAL.1999.809919,417.0,554.0,C,"Visualization systems are complex dynamic software systems. Debugging such systems is difficult using conventional debuggers because the programmer must try to imagine the three-dimensional geometry based on a list of positions and attributes. In addition, the programmer must be able to mentally animate changes in those positions and attributes to grasp dynamic behaviors within the algorithm. We show that representing geometry, attributes, and relationships graphically permits visual pattern recognition skills to be applied to the debugging problem. The particular application is a particle system used for isosurface extraction from volumetric data. Coloring particles based on individual attributes is especially helpful when these colorings are viewed as animations over successive iterations in the program. Although we describe a particular application, the types of tools that we discuss can be applied to a variety of problems.",Patricia Crossno;Edward Angel,P. Crossno;E. Angel,"Sandia National Laboratories, USA;University of New Mexico, USA",10.1109/visual.1996.568120;10.1109/visual.1997.663930;10.1109/visual.1996.568120,,17.0,7.0,17.0,111.0,,,visualization systems;using conventional debuggers;particle used isosurface;animate changes positions;able,0.5637;0.3595;0.2617;0.1512;-0.0170,"[np.int64(-1), np.int64(-1), -1, -1, -1]",9;-1;-1;-1;-1,9,9,Data Visualization Tools
Vis,2023,ExTreeM: Scalable Augmented Merge Tree Computation via Extremum Graphs,10.1109/tvcg.2023.3326526,http://dx.doi.org/10.1109/TVCG.2023.3326526,1085.0,1094.0,J,"Over the last decade merge trees have been proven to support a plethora of visualization and analysis tasks since they effectively abstract complex datasets. This paper describes the ExTreeM-Algorithm: A scalable algorithm for the computation of merge trees via extremum graphs. The core idea of ExTreeM is to first derive the extremum graph $\mathcal{G}$ of an input scalar field $f$ defined on a cell complex $\mathcal{K}$, and subsequently compute the unaugmented merge tree of $f$ on $\mathcal{G}$ instead of $\mathcal{K}$; which are equivalent. Any merge tree algorithm can be carried out significantly faster on $\mathcal{G}$, since $\mathcal{K}$ in general contains substantially more cells than $\mathcal{G}$. To further speed up computation, ExTreeM includes a tailored procedure to derive merge trees of extremum graphs. The computation of the fully augmented merge tree, i.e., a merge tree domain segmentation of $\mathcal{K}$, can then be performed in an optional post-processing step. All steps of ExTreeM consist of procedures with high parallel efficiency, and we provide a formal proof of its correctness. Our experiments, performed on publicly available datasets, report a speedup of up to one order of magnitude over the state-of-the-art algorithms included in the TTK and VTK-m software libraries, while also requiring significantly less memory and exhibiting excellent scaling behavior.",Jonas Lukasczyk;Michael Will;Florian Wetzels;Gunther H. Weber;Christoph Garth,Jonas Lukasczyk;Michael Will;Florian Wetzels;Gunther H. Weber;Christoph Garth,"RPTU Kaiserslautern-Landau, Germany;RPTU Kaiserslautern-Landau, Germany;RPTU Kaiserslautern-Landau, Germany;Lawrence Berkeley National Lab., USA;RPTU Kaiserslautern-Landau, Germany",0.1109/tvcg.2019.2934257;10.1109/tvcg.2017.2743938,"Scalar field topology,merge trees,persistence pairs,high performance computing",,0.0,41.0,334.0,,,computation merge trees;domain segmentation;extremum graph;contains substantially cells;scalar field,0.6246;0.3878;0.3239;0.1739;0.1321,"[np.int64(-1), np.int64(-1), -1, -1, -1]",-1;-1;-1;-1;-1,,-1,3D Medical Visualization
InfoVis,2012,PivotPaths: Strolling through Faceted Information Spaces,10.1109/tvcg.2012.252,http://dx.doi.org/10.1109/TVCG.2012.252,2709.0,2718.0,J,"We present PivotPaths, an interactive visualization for exploring faceted information resources. During both work and leisure, we increasingly interact with information spaces that contain multiple facets and relations, such as authors, keywords, and citations of academic publications, or actors and genres of movies. To navigate these interlinked resources today, one typically selects items from facet lists resulting in abrupt changes from one subset of data to another. While filtering is useful to retrieve results matching specific criteria, it can be difficult to see how facets and items relate and to comprehend the effect of filter operations. In contrast, the PivotPaths interface exposes faceted relations as visual paths in arrangements that invite the viewer to `take a stroll' through an information space. PivotPaths supports pivot operations as lightweight interaction techniques that trigger gradual transitions between views. We designed the interface to allow for casual traversal of large collections in an aesthetically pleasing manner that encourages exploration and serendipitous discoveries. This paper shares the findings from our iterative design-and-evaluation process that included semi-structured interviews and a two-week deployment of PivotPaths applied to a large database of academic publications.",Marian Dörk;Nathalie Henry Riche;Gonzalo A. Ramos;Susan T. Dumais,Marian Dörk;Nathalie Henry Riche;Gonzalo Ramos;Susan Dumais,"University of Calgary, Canada;Microsoft, USA;Microsoft, USA;Microsoft, USA",10.1109/vast.2009.5333443;10.1109/tvcg.2010.154;10.1109/vast.2006.261426;10.1109/vast.2007.4389006;10.1109/vast.2008.4677370;10.1109/tvcg.2007.70539;10.1109/tvcg.2008.175;10.1109/tvcg.2009.108;10.1109/vast.2009.5333443,"Information visualization, interactivity, node-link diagrams, animation, information seeking, exploratory search",217.0,126.0,24.0,1637.0,,,exploring faceted information;lightweight interaction techniques;pivotpaths applied large;work leisure increasingly;invite,0.6254;0.2994;0.2773;0.1799;-0.1157,"[np.int64(-1), -1, -1, -1, -1]",7;-1;-1;-1;-1,7,7,Information Exploration
Vis,2023,Average Estimates in Line Graphs Are Biased Toward Areas of Higher Variability,10.1109/tvcg.2023.3326589,http://dx.doi.org/10.1109/TVCG.2023.3326589,306.0,315.0,J,"We investigate variability overweighting, a previously undocumented bias in line graphs, where estimates of average value are biased toward areas of higher variability in that line. We found this effect across two preregistered experiments with 140 and 420 participants. These experiments also show that the bias is reduced when using a dot encoding of the same series. We can model the bias with the average of the data series and the average of the points drawn along the line. This bias might arise because higher variability leads to stronger weighting in the average calculation, either due to the longer line segments (even though those segments contain the same number of data values) or line segments with higher variability being otherwise more visually salient. Understanding and predicting this bias is important for visualization design guidelines, recommendation systems, and tool builders, as the bias can adversely affect estimates of averages and trends.",Dominik Moritz;Lace M. K. Padilla;Francis Nguyen;Steven L. Franconeri,Dominik Moritz;Lace M. Padilla;Francis Nguyen;Steven L. Franconeri,"Carnegie Mellon University, USA;Northeastern University, USA;Northwestern University, USA;UBC, Canada",0.1109/infvis.2005.1532136;10.1109/tvcg.2018.2865077;10.1109/tvcg.2009.131;10.1109/tvcg.2021.3114783;10.1109/tvcg.2010.162;10.1109/tvcg.2021.3114684;10.1109/tvcg.2019.2934784;10.1109/tvcg.2019.2934400;10.1109/tvcg.2021.3114865,"bias,lines graph,ensemble perception,average",,2.0,34.0,440.0,HM,,bias important visualization;series average;using dot encoding;systems tool builders;longer,0.5901;0.3591;0.0936;0.0786;0.0677,"[np.int64(-1), np.int64(-1), -1, -1, -1]",-1;-1;-1;-1;-1,,-1,3D Medical Visualization
